"066","8","FT066",,"H066-02","H066-05",,,"PIGV","PIIT",,,,,NULL
"065","8","FT065","FT065","H065-01","H065-02","H065-01","H065-02","PEVO","PEKC","ENQO","ENQP","PEVO","PEKC",NULL
"031","7","FT110",,"H031-07","H031-03",,,"PEBM","PFBR",,,,,NULL
"028","7","FT109",,"H028-07","H028-03",,,"PFHJ","PFEC",,,,,NULL
"022","7","FT108",,"H022-07","H022-03",,,"PBBF","PAZY",,,,,NULL
"016","7","FT107",,"H016-07","H016-03",,,"PAHI","PAQR",,,,,NULL
"010","7","FT106",,"H010-07","H010-03",,,"PFHS","PFME",,,,,NULL
"076","7","FT105",,"H076-16","H076-19",,,"PKNT","PKNK",,,,,NULL
"075","7","FT104",,"H075-04","H075-08",,,"PKGO","PKFX",,,,,NULL
"058","7","FT103",,"H058-02","H058-03",,,"PMKF","PMQL",,,,,NULL
"052","7","FT102",,"H052-16","H052-19",,,"PHHZ","PHDP",,,,,NULL
"049","7","FT101","FT101","H049-02","H049-03",,,"PMGG","PNIH","ENKC","ENKB","PCEA","PBVP",NULL
"043","7","FT100","FT100","H043-16","H043-19",,,"PHWF","PGLC","H092","H092","PHYG","PHYG",NULL
"021","6","FT021","FT021","H021-01","H021-02",,,"PIMW","PIVT","ENAO","ENAP","PIMW","PIVT",NULL
"016","6","FT016","FT016","H016-13","H016-08",,,"PCIT","PDHU","EMYV","EMYV","PAQR","PAQR",NULL
"020","6","FT020","FT020","H020-01","H020-02",,,"PFDF","PIKL","ENAH","ENAJ","PFDF","PISI",NULL
"015","6","FT015","FT015","H015-01","H015-02",,,"PAJG","PISR","EMYN","EMYM","PISR","PAJG",NULL
"014","6","FT014","FT014","H014-01","H014-02",,,"PEJK","PDXK","EMYL","EMYK","PENW","PEUX",NULL
"010","6","FT010","FT010","H010-13","H010-08",,,"PEZC","PFGN","EMWT","EMWT","PFME","PFME",NULL
"009","6","FT009","FT009","H009-01","H009-02",,,"PIRN","PIUH","EMWO","EMWO","PISU","PISU",NULL
"008","6","FA108",,"H008-07","H008-06",,,"PHJH","PEAT",,,,,"No information fed into the database. Crew member: Noel, Dave, John, Jose."
"008","6","FA008","FB012","H008-07","H008-06",,,"PHJH","PEAT",,,"PDHU","PDHU","PDHU added by Dimpal into the database based on Nov. 4th shift report. "
"008","6","FT008","FT008","H008-07","H008-05",,,"PHJH","PION","EMWJ","EMYH","PHJH","PEGT","Operator reads PION for neighbouring PMT ID but code gives PEGT for the neighbouring PMT ID "
"003","6","FT003","FT003","H003-01","H003-02",,,"PIPD","PFDT","EMVA","EMUZ","PGQQ","PIWK",NULL
"025","5","FT025",,"H025-03","H025-01",,,"PBQW","PBPC",,,,,NULL
"024","5","FT024",,"H024-06","H024-07",,,"PHWB","PHHC",,,,,NULL
"018","5","FT018",,"H018-06","H018-07",,,"PHYO","PHIJ",,,,,NULL
"019","5","FT019",,"H019-03","H019-01",,,"PEXD","PEHO",,,,,NULL
"017","5","FT017",,"H017-01","H017-02",,,"PEIR","PAKK",,,,,NULL
"013","5","FT013",,"H013-03","H013-01",,,"PCDI","PBXZ",,,,,NULL
"012","5","FT012",,"H012-06","H012-07",,,"PBRY","PDRY",,,,,NULL
"007","5","FS207",,"H007-03","H007-06",,,"PBRQ","PBJN",,,,,NULL
"011","5","FT011",,"H011-01","H011-02",,,"PEER","PAYT",,,,,NULL
"092","7","FT099","FT099","H092-18","H092-19",,,"PGXO","PHYG","H085","H085","PBBZ","PBBZ",NULL
"082","7","FT096","FT096","H082-18","H082-19",,,"PJTK","PJTM","H082","H082","PJTM","PJTM",NULL
"085","7","FT097",,"H085-18","H085-19",,,"PLGB","PBBZ",,,,,NULL
"088","7","FT098","FT098","H088-18","H088-19",,,"PDLP","PDMP","H088","H088","PDMP","PDMP","re-checked"
"031","6","FT031","FT031","H031-13","H031-08",,,"PHZO","PEAR","ENEG","ENEG","PFBR","PFBR",NULL
"028","6","FT028","FT028","H028-13","H028-08",,,"PFFK","PFAB","ENCO","ENCL","PIFQ","PITT","Installed FT028 at node H026 (hex 01? ask Jose) as H028 already had FT026."
"027","6","FT027","FT027","H027-01","H027-02",,,"PIUP","PHJW","ENCR","ENCQ","PHJW","PIUP",NULL
"026","6","FT026","FT026","H026-01","H026-02",,,"PIPF","PIVW","ENCZ","ENCZ","PFEC","PFEC","Jose installed FT026 at node H028-13"
"022","6","FT022","FT022","H022-13","H022-08",,,"PCKE","PAPD","ENAX","ENAX","PAZY","PAZY",NULL
"002","6","FT002","FT002","H002-01","H002-02",,,"PIUB","PFJC","EMUT","EMUS","PGYG","PHSC",NULL
"030","5","FT030",,"H030-06","H030-07",,,"PIPM","PGPV",,,,,NULL
"029","5","FT029",,"H029-01","H029-02",,,"PGMB","PHNM",,,,,NULL
"025","5","FS225",,"H025-03","H025-06",,,"PBQW","PBGO",,,,,NULL
"025","5","FS125",,"H025-03","H025-06",,,"PBQW","PBGO",,,,,NULL
"025","5","FS025",,"H025-03","H025-06",,,"PBQW","PBGO",,,,,NULL
"023","5","FT023",,"H023-01","H023-02",,,"PFDV","PEYY",,,,,NULL
"073","3","FA073","FA092","H073-01","H073-03",,,"PNJE","PNLV","ENTS","ENTQ","PNLV","PNJE","FA092 was installed."
"073","3","FT073","FT073","H073-01","H073-02",,,"PNJE","PLJO","ENTQ","ENTR","PNJE","PLJO",NULL
"060","3","FT060","FT060","H060-01","H060-02",,,"PGSJ","PHAT","ENOV","ENOT","PHDH","PGSJ",NULL
"056","3","FT056","FT056","H056-02","H056-05",,,"PBVN","PFNI","ENFS","exit","PLDM","none",NULL
"049","3","FT049","FT049","H049-18","H049-19",,,"PMEC","PCTN","ENLC","ENLC","PCTN","PCTN",NULL
"042","3","FT042","FT042","H042-01","H042-02",,,"PBLK","PBKZ","ENID","ENIB","PBQQ","PBLK",NULL
"033","3","FT033","FT033","H033-01","H033-02",,,"PFXF","PBIG","ENFJ","ENFG","PFQC","PBQA",NULL
"084","2","FT084","FT084","H084-01","H084-02",,,"PHTZ","PAOV","ENXZ","ENYA","PHTZ","PAOV",NULL
